,產業,比例
0,能源,15.79
1,金融,9.63
2,健康醫療,8.35
3,衛星電纜,6.38
4,科技,6.24
5,媒體（非電纜）,6.05
6,公共事業,5.32
7,包裝,5.02
8,娛樂,4.41
9,其他產業,31.16
10,現金及約當現金,1.65
