,基金名稱,幣別,淨值,漲跌,比例,日期
226,富蘭克林華美全球非投資等級債券基金-分配本基金主要係投資於非投資等級之高風險債券且配息來源可能為本金,澳幣,6.0934,0.0161,0.26%,11/25
228,富蘭克林華美全球非投資等級債券基金-累積,人民幣,11.6796,0.0453,0.39%,11/25
230,富蘭克林華美全球非投資等級債券基金-分配,人民幣,7.0925,0.0275,0.39%,11/25
232,富蘭克林華美全球非投資等級債券基金-C分配型,人民幣,6.5736,0.0255,0.39%,11/25
234,富蘭克林華美全球非投資等級債券基金-NC分配型,人民幣,7.3841,0.0286,0.39%,11/25
236,富蘭克林華美全球非投資等級債券基金-累積,南非幣,16.0365,0.0551,0.34%,11/25
238,富蘭克林華美全球非投資等級債券基金-分配,南非幣,9.6194,0.0330,0.34%,11/25
240,富蘭克林華美全球非投資等級債券基金-NC分配型,南非幣,7.7129,0.0265,0.34%,11/25
244,富蘭克林華美全球投資級債券基金-累積(本基金之配息來源可能為本金),台幣,8.6264,-0.0783,-0.90%,11/25
246,富蘭克林華美全球投資級債券基金-累積(本基金之配息來源可能為本金),美元,9.1320,0.0057,0.06%,11/25
248,富蘭克林華美全球投資級債券基金-分配,台幣,6.5765,-0.0597,-0.90%,11/25
250,富蘭克林華美全球投資級債券基金-分配,美元,7.5562,0.0047,0.06%,11/25
252,富蘭克林華美全球投資級債券基金-NB分配型,台幣,8.6408,-0.0785,-0.90%,11/25
254,富蘭克林華美全球投資級債券基金-NB分配型,美元,8.2326,0.0052,0.06%,11/25
256,富蘭克林華美六年到期新興市場主權債券基金,美元,9.0091,0.0263,0.29%,11/25
258,富蘭克林華美六年到期新興市場主權債券基金,人民幣,9.3564,0.0482,0.52%,11/25
260,富蘭克林華美六年到期新興市場主權債券基金,澳幣,8.6198,0.0149,0.17%,11/25
262,富蘭克林華美貨幣市場基金,台幣,10.4957,0.0006,0.01%,11/28
