,基金名稱,幣別,淨值,漲跌,比例,日期
158,安聯特別收益多重資產基金-HB類型/月配息/人民幣避險,人民幣,8.53,0.01,0.12%,11/25
160,安聯特別收益多重資產基金-HB類型/月配息/台幣避險,台幣,8.58,-0.01,-0.12%,11/25
162,安聯特別收益多重資產基金-HN類型/月配息/人民幣避險,人民幣,8.51,0.01,0.12%,11/25
164,安聯特別收益多重資產基金-HN類型/月配息/台幣避險,台幣,8.58,-0.01,-0.12%,11/25
166,安聯特別收益多重資產基金-N類型/月配息,美元,8.52,0.01,0.12%,11/25
168,安聯特別收益多重資產基金-N類型/月配息,台幣,8.92,-0.07,-0.78%,11/25
170,安聯新興債券收益組合基金-A類型/累積,美元,8.3209,0.0395,0.48%,11/25
172,安聯新興債券收益組合基金-A類型/累積,台幣,8.6072,-0.0380,-0.44%,11/25
174,安聯新興債券收益組合基金-B類型/月配息,美元,7.3381,0.0348,0.48%,11/25
176,安聯新興債券收益組合基金-B類型/月配息,台幣,7.5919,-0.0336,-0.44%,11/25
178,安聯新興債券收益組合基金-HA類型/累積/人民幣避險,人民幣,8.6120,0.0610,0.71%,11/25
180,安聯新興債券收益組合基金-HA類型/累積/台幣避險,台幣,8.1468,0.0502,0.62%,11/25
182,安聯新興債券收益組合基金-HB類型/月配息/人民幣避險,人民幣,7.4345,0.0527,0.71%,11/25
184,安聯新興債券收益組合基金-HB類型/月配息/台幣避險,台幣,7.2615,0.0447,0.62%,11/25
186,安聯新興債券收益組合基金-HN類型/月配息/人民幣避險,人民幣,7.4319,0.0527,0.71%,11/25
188,安聯新興債券收益組合基金-HN類型/月配息/台幣避險,台幣,7.2617,0.0448,0.62%,11/25
190,安聯新興債券收益組合基金-N類型/月配息,美元,7.3379,0.0349,0.48%,11/25
192,安聯新興債券收益組合基金-N類型/月配息,台幣,7.5919,-0.0336,-0.44%,11/25
