,platform,date,title,url
47,BBC,07 Dec 2022,https://www.bbc.co.ukDo you know the word of the year?,/learningenglish/english/course/newsreview-2022/unit-1/session-48
48,BBC,14 Dec 2022,https://www.bbc.co.ukThe 'King of Crypto' charged with fraud,/learningenglish/english/course/newsreview-2022/unit-1/session-49
49,BBC,04 Jan 2022,https://www.bbc.co.ukReview of 2021,/learningenglish/english/course/newsreview/unit-1/session-1
50,BBC,05 Sep 2017,https://www.bbc.co.ukNew royal baby,/learningenglish/english/course/newsreview/unit-1/session-2
51,BBC,12 Sep 2017,https://www.bbc.co.ukHurricane Irma hits,/learningenglish/english/course/newsreview/unit-1/session-3
52,BBC,26 Sep 2017,https://www.bbc.co.ukExtremist web content audience grows,/learningenglish/english/course/newsreview/unit-1/session-4
53,BBC,03 Oct 2017,https://www.bbc.co.ukGreenest summer ever for UK,/learningenglish/english/course/newsreview/unit-1/session-5
54,BBC,10 Oct 2017,https://www.bbc.co.ukSpain in crisis over Catalonia vote,/learningenglish/english/course/newsreview/unit-1/session-6
55,BBC,10 Oct 2017,https://www.bbc.co.ukRacial inequality in the UK,/learningenglish/english/course/newsreview/unit-1/session-7
56,BBC,24 Oct 2017,https://www.bbc.co.ukAncient stellar collision makes waves,/learningenglish/english/course/newsreview/unit-1/session-8
57,BBC,31 Oct 2017,https://www.bbc.co.ukToxicity tax for London’s polluting cars,/learningenglish/english/course/newsreview/unit-1/session-9
58,BBC,07 Nov 2017,https://www.bbc.co.ukClimate change affects health,/learningenglish/english/course/newsreview/unit-1/session-10
59,BBC,05 May 2020,https://www.bbc.co.ukWhat does 'fake' mean?,/learningenglish/english/course/fakenews/unit-1/session-1
60,BBC,20 May 2020,https://www.bbc.co.ukWhere does 'news' come from?,/learningenglish/english/course/fakenews/unit-1/session-2
61,BBC,27 May 2020,https://www.bbc.co.ukThe danger of fake news,/learningenglish/english/course/fakenews/unit-1/session-3
62,BBC,02 Jun 2020,https://www.bbc.co.ukFake news and coronavirus,/learningenglish/english/course/fakenews/unit-1/session-4
63,BBC,11 Sep 2020,"https://www.bbc.co.ukAgendas, actors and algorithms",/learningenglish/english/course/fakenews/unit-1/session-5
64,BBC,17 Sep 2020,https://www.bbc.co.ukHow to be a critical thinker,/learningenglish/english/course/fakenews/unit-1/session-6
65,BBC,25 Sep 2020,"https://www.bbc.co.ukImages, scams and hoaxes",/learningenglish/english/course/fakenews/unit-1/session-7
66,BBC,30 Sep 2020,https://www.bbc.co.ukDon't get caught out,/learningenglish/english/course/fakenews/unit-1/session-8
