,phrase,chinese
162,keep (someone) out of something,使(某人 )不捲入 …，使 (某人 )不受 …影響
163,keep off something,避免吃某物
164,keep down something,抑制某物增長，使某物不增加
165,keep up with . . .,跟上 …，趕上 …
166,keep . . . in mind,記住 …，考慮 …
167,knock on wood,敲木頭 (希望留住好運、避免厄運時說的話 )
168,know no bounds,無窮無盡
169,lay down something,制定，明訂 (規定或法律等 )
170,at least,至少，起碼；至少，不少於
171,last but not least,最後但同樣重要地
172,leave something alone,別動、別碰某物
173,lend oneself to something,適合某事物，適用於某事物
174,let us say,比方說，例如
175,come to life,活過來
176,take someone’s  life,殺死某人，取某人性命
177,live with something,忍受某事物
178,live up to something,達到 (期待 )，履行  (諾言 )
179,live on something,以某食維生
180,see the light,終於明白、領悟
181,before long,不久之後，很快
182,as long as,只要
183,no longer,不再
184,look for . . .,尋找 …
185,look up something,查閱 …，搜尋 …
186,look into something,調查 …
187,look around (something),參訪 (某地 )
188,look someone up and down  ,(批判性地 )打量某人
189,look forward to (doing) something,高興地期待、盼望  (做) 某事
190,make  for something,導致某事，促成某事
191,make friends (with someone)  ,(和…)交朋友
192,make fun of . . .,嘲笑 …，取笑 …
193,make it,及時趕到
194,make up something,編造 (藉口、謊言等 )
195,make up something,組成 …，構成 …
196,make up one’s mind,下定決心
197,keep an open mind,不懷成見，願意聽取他人的意見
198,make peace (with someone)  ,(與某人 )談和
199,make oneself understood,把自己的意思表達清楚
200,many a(n)  (fml.),大量，許多
201,in the meantime,在此時，期間
202,not to mention something,更不用說 …
203,mistake . . . for . . .,把…誤認為 …
204,what is more,再者，而且
205,no more than,僅僅
206,more often than not  = usually,多半，往往
207,move  on (to something),接著進行 (不同的事 )
208,occur to someone,某人想到 …，想起 …
209,once again,再一次
210,all at once,突然
211,only if,唯若 …才，只有當
212,open up,暢所欲言，開誠布公
213,on the outside,表面上，由外表看來
214,over and over (again),再三地，一再地
215,owing  to something,因為某事
216,take part in something,參加 …
217,play a part (in something),參與 (…)，對 (…)有影響
218,pass away,去世，過世
219,pass on something (to someone),傳遞某物 (給某人 )
220,pay off,成功，有所回報
221,pay someone back (s th.),償還某人 (人情、恩惠 )；償還某人 (金錢 )
222,two peas in a pod,一模一樣
223,every penny,每一分錢，所有的錢
224,pick up something,撿起 …，拿起 …
225,pick up something  ,(偶然 )得到 …，學會 …
226,in place of . . .,代替 …，取代 …
227,take the place of . . .,代替 …，頂替 …
228,pluck up the courage (to do something),鼓起勇氣 (…)
229,pop the question  (infml.),求婚
230,in preference to . . .,而非 …，並非 …
231,in one’s presence,在某人面前
232,press  for something,不停要求某事物，持續要求某事物
233,pull up (something)  ,(駕駛 )停車， (車輛 )停止
234,put on something,塗抹某物；穿戴某物
235,put up with . . .,忍受 …，容忍 …
236,put off (doing) something,拖延 …，延宕 …
237,put aside something,儲存某物，保留某物
238,rather than,而不是
239,would rather . . . (than . . . ),寧願 …，寧可 …
240,reach out to someone,向…伸出援手，對 …提供援助
241,read (something) into something   ,(對某事 ) 過度解釋、解讀
242,the recesses of something  ,(某物的 ) 隱蔽處； (情感、思想的 ) 深處
243,refer to . . . as something,將…稱作某物
244,result in something,導致 …，造成 …
245,in return (for something),作為  (對某事的 ) 回報
246,revenge oneself on someone  (fml.),向某人報復，對某人報仇
247,ring out ,(聲音 ) 響亮，清晰可聞
248,at risk of (doing) something,有(遭逢 )某事的危險
249,roll down something,搖下 (車窗 )
250,round up . . .,圍捕 …；將 …聚集起來
251,run into something,遭遇 (困難、麻煩等 )
252,second to none,不亞於，首屈一指
253,make sense,合乎情理，明智；說得通，易於理解
254,set up something,設立 …，創立 …
255,set out,出發，啟程； (懷著目標 )開始工作
256,settle down,定居下來
257,settle a/the score (with sb. ),報復  (某人 )，(和某人 ) 算帳
258,nowhere in sight,看不到，找不到
259,sit back,不採取行動，袖手旁觀
260,size up . . .,評估 …，判斷 …
